time,CP_ABEMACICLIB_UM
0,0
0.17,0.0057
0.34,0.0111
0.5,0.0164
0.67,0.0214
0.84,0.0262
1.01,0.0308
1.18,0.0353
1.35,0.0395
1.51,0.0436
1.68,0.0475
1.85,0.0512
2.02,0.0547
2.19,0.0582
2.35,0.0614
2.52,0.0644
2.69,0.0673
2.86,0.0701
3.03,0.0728
3.2,0.0753
3.36,0.0777
3.53,0.0799
3.7,0.0822
3.87,0.0844
4.04,0.0866
4.2,0.0886
4.37,0.0904
4.54,0.0922
4.71,0.094
4.88,0.0958
5.05,0.0974
5.21,0.0989
5.38,0.1002
5.55,0.1015
5.72,0.1029
5.89,0.1044
6.05,0.1056
6.22,0.1068
6.39,0.1079
6.56,0.109
6.73,0.1098
6.89,0.1107
7.06,0.1117
7.23,0.1127
7.4,0.1134
7.57,0.1141
7.74,0.1145
7.9,0.1154
8.07,0.116
8.24,0.1164
8.41,0.1168
8.58,0.1173
8.74,0.1176
8.91,0.1181
9.08,0.1186
9.25,0.1189
9.42,0.1193
9.59,0.1195
9.75,0.1196
9.92,0.1197
10.09,0.1198
10.26,0.1201
10.43,0.1203
10.59,0.1204
10.76,0.1204
10.93,0.1205
11.1,0.1205
11.27,0.1203
11.44,0.1203
11.6,0.1201
11.77,0.1201
11.94,0.12
12,0.1199
12.11,0.1239
12.28,0.13
12.44,0.1354
12.61,0.1404
12.78,0.1453
12.95,0.1501
13.12,0.1545
13.29,0.1589
13.45,0.1627
13.62,0.1663
13.79,0.17
13.96,0.1734
14.13,0.1766
14.29,0.1797
14.46,0.1826
14.63,0.1854
14.8,0.188
14.97,0.1904
15.14,0.1929
15.3,0.1951
15.47,0.1973
15.64,0.1992
15.81,0.2009
15.98,0.2026
16.14,0.2042
16.31,0.2057
16.48,0.2072
16.65,0.2086
16.82,0.21
16.98,0.2111
17.15,0.2123
17.32,0.2134
17.49,0.2144
17.66,0.2154
17.83,0.2161
17.99,0.2165
18.16,0.2172
18.33,0.2181
18.5,0.2184
18.67,0.2187
18.83,0.2191
19,0.2195
19.17,0.2197
19.34,0.2199
19.51,0.2202
19.68,0.2207
19.84,0.2209
20.01,0.2211
20.18,0.2211
20.35,0.2209
20.52,0.2208
20.68,0.2204
20.85,0.22
21.02,0.2201
21.19,0.2201
21.36,0.2203
21.53,0.2199
21.69,0.2196
21.86,0.2193
22.03,0.219
22.2,0.2189
22.37,0.2187
22.53,0.2179
22.7,0.2173
22.87,0.2167
23.04,0.2161
23.21,0.2157
23.38,0.2151
23.54,0.2145
23.71,0.214
23.88,0.2133
24,0.2129
24.05,0.2144
24.22,0.2199
24.38,0.2258
24.55,0.2308
24.72,0.2353
24.89,0.2396
25.06,0.2436
25.23,0.2477
25.39,0.2511
25.56,0.2549
25.73,0.258
25.9,0.261
26.07,0.2638
26.23,0.2664
26.4,0.2688
26.57,0.2711
26.74,0.2733
26.91,0.2753
27.08,0.2772
27.24,0.2791
27.41,0.2807
27.58,0.2824
27.75,0.2838
27.92,0.2852
28.08,0.2865
28.25,0.2875
28.42,0.2885
28.59,0.2896
28.76,0.2904
28.92,0.2911
29.09,0.2915
29.26,0.2922
29.43,0.2928
29.6,0.2933
29.77,0.2938
29.93,0.2942
30.1,0.2945
30.27,0.2946
30.44,0.2947
30.61,0.2947
30.77,0.2947
30.94,0.2945
31.11,0.2942
31.28,0.2938
31.45,0.2936
31.62,0.2935
31.78,0.293
31.95,0.2928
32.12,0.2923
32.29,0.2917
32.46,0.2909
32.62,0.2904
32.79,0.2896
32.96,0.2888
33.13,0.2883
33.3,0.2875
33.47,0.2869
33.63,0.2861
33.8,0.2854
33.97,0.2847
34.14,0.2835
34.31,0.2823
34.47,0.2816
34.64,0.2809
34.81,0.2799
34.98,0.279
35.15,0.278
35.32,0.277
35.48,0.276
35.65,0.275
35.82,0.2742
35.99,0.2729
36,0.2728
36.16,0.2777
36.32,0.2829
36.49,0.2874
36.66,0.2925
36.83,0.2969
37,0.3008
37.17,0.3045
37.33,0.3078
37.5,0.3112
37.67,0.3144
37.84,0.3176
38.01,0.3203
38.17,0.3229
38.34,0.3252
38.51,0.3272
38.68,0.3291
38.85,0.3309
39.02,0.3324
39.18,0.3339
39.35,0.3353
39.52,0.3365
39.69,0.3374
39.86,0.3383
40.02,0.3392
40.19,0.3399
40.36,0.3407
40.53,0.3412
40.7,0.3415
40.86,0.3417
41.03,0.342
